Facts: Value;Indicators: Key;Indicators: Name;Indicators: Description;Indicators: Full Name;Date;Time Period;Regions: Key;Regions: Code;Regions: Name
-133.39788110000001;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;1992-01-01 00:00:00;Annual;16754916;;Senegal
-146.46355999999997;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;1993-01-01 00:00:00;Annual;16754916;;Senegal
-157.42696000000012;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;1994-01-01 00:00:00;Annual;16754916;;Senegal
-157.34135000000003;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;1995-01-01 00:00:00;Annual;16754916;;Senegal
-149.80004000000008;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;1996-01-01 00:00:00;Annual;16754916;;Senegal
-170.10100073160004;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;1997-01-01 00:00:00;Annual;16754916;;Senegal
-117.39999999999998;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;1986-01-01 00:00:00;Annual;16754916;;Senegal
-116.77000000000004;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;1987-01-01 00:00:00;Annual;16754916;;Senegal
-108.43000000000001;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;1988-01-01 00:00:00;Annual;16754916;;Senegal
-101.00999999999999;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;1989-01-01 00:00:00;Annual;16754916;;Senegal
-105.44999999999999;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;1990-01-01 00:00:00;Annual;16754916;;Senegal
-124;383;balancy of goods and services (current billion FCFA);;Agrégats (milliards de FCFA)\balancy of goods and services;1991-01-01 00:00:00;Annual;16754916;;Senegal
724.38507843970228;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;1980-01-01 00:00:00;Annual;16754916;;Senegal
819.18649420431109;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;1981-01-01 00:00:00;Annual;16754916;;Senegal
964.15060260204416;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;1982-01-01 00:00:00;Annual;16754916;;Senegal
1021.8342986208987;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;1983-01-01 00:00:00;Annual;16754916;;Senegal
1132.8387636505142;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;1984-01-01 00:00:00;Annual;16754916;;Senegal
1253.7096166059698;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;1985-01-01 00:00:00;Annual;16754916;;Senegal
5958.4057072644637;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;2010-01-01 00:00:00;Annual;16754916;;Senegal
6265.7400866787084;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;2011-01-01 00:00:00;Annual;16754916;;Senegal
6582.1574893919214;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;2012-01-01 00:00:00;Annual;16754916;;Senegal
3861.1944652859092;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;2004-01-01 00:00:00;Annual;16754916;;Senegal
4175.6798844523191;260;Final consumption  (current billion FCFA);;Agrégats (milliards de FCFA)\Effectif consumption;2005-01-01 00:00:00;Annual;16754916;;Senegal
